Job_Id,Title,Location,Department,Salary_range,Company_profile,Description,Requirements,Benefits,Telecommuting,Has_company_logo,Has_questions,Employment_type,Required_education,Industry,Function,Fraudulent
33,"Professional Services, Strategy Consultant","San Francisco, CA",,"205,200 - 307,800","Stripe is a financial infrastructure platform for businesses. Millions of companies - from the world’s largest enterprises to the most ambitious startups - use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone's reach while doing the most important work of your career.","Work with our Go-To-Market teams to identify and develop Professional Services opportunities
Advise customer’s senior leadership in building business cases for digital transformation
Lead pre-sales workshops with customers (strategy/vision/discovery/assessment workshops)
Shape Professional Services deals, build and negotiate contracts/Statements of Work
Autonomously lead complex, multi-party implementation projects in a highly consultative and proactive manner
Engage with Product and Engineering teams to help drive product strategy for large users
Collaborate with your teammates on strategic projects that improve and scale our implementation process and team operations
Strong leadership and cross collaboration skills with the ability to make informed decisions, test assumpti


Who you are

We're looking for someone who meets the minimum requirements to be considered for the role. If you meet these requirements, you are encouraged to apply. The preferred qualifications are a bonus, not a requirement.","7+ years in IT consulting/management, with a history of excellence in handling strategic customers and technology solutions.
5+ years in financial services or fintech consulting.
Proven experience in pre-sales/sales of sizable service engagements and in contract/SOW development.
Passion for innovation and crafting top-tier, reusable professional services offerings, and enablement of Sales teams to GTM with these offerings.
Thrives on the urgency and importance of working with our largest customers, and are able to achieve set objectives while balancing competing priorities
Ability to understand complex business requirements and craft tailored solutions
Strong communication and analytical skills, with a knack for pinpointing and improving inefficient processes.
Demonstrated ability to cut through ambiguity to produce strategic insights and opportunities","The annual US base salary range for this role is $205,200 - $307,800. For sales roles, the range provided is the role’s On Target Earnings (""OTE"") range, meaning that the range includes both the sales commissions/sales bonuses target and annual base salary for the role. This salary range may be inclusive of several career levels at Stripe and will be narrowed during the interview process based on a number of factors, including the candidate’s experience, qualifications, and location. Applicants interested in this role and who are not located in the US may request the annual salary range for their location during the interview process.

Additional benefits for this role may include: equity, company bonus or sales commissions/bonuses; 401(k) plan; medical, dental, and vision benefits; and wellness stipends.",1,1,0,Full Time,,Technology,Executive,0
34,"Business Change Consultant, EDI, Road US","Lancaster, TX",,"62,000 - 84,000","In 1976, ten independent hauliers joined forces and founded DSV in Denmark. Since then, DSV has evolved to become the world's 3rd largest supplier of global solutions within transport and logistics. Today, we add value to our customers' entire supply chain by transporting, storing, packaging, re-packaging, processing and clearing all types of goods. We work every day from our many offices in more than 80 countries to ensure a steady supply of goods to production lines, outlets, stores and consumers all over the world. Our reach is global yet our presence is local and close to our customers. Read more at www.dsv.com","At DSV, The Business Change Consultant will play a critical role in driving transformational initiatives within the organization. You will collaborate closely with Business Change Managers and stakeholders at all levels to identify opportunities for change, develop strategic plans, and implement solutions that optimize business processes and drive sustainable growth.

Duties And Responsibilities


 Take charge of end-to-end EDI implementation, working closely with Customer Delivery Managers, Operations, IT, and various stakeholders to ensure everyone's on the same page. 
 Develop and carry out user-friendly tests to make sure our systems integrate seamlessly. 
 Create clear and easy-to-follow processes and instructions so everyone knows what they're doing. 
 Be the go-to person for training and support, helping our team use our systems like pros. 
 Keep everyone in the loop and make sure things run smoothly post-implementation, troubleshooting any issues that pop up. 
 Get creative and help us find new ways to improve our processes, all while sticking to our global strategy. 
","Skills & Competencies


 Understanding of Electronic Data Interchange (EDI) principles and practices. 
 Ability to manage projects like a pro. 
 Skills in testing and quality assurance. 
 Documenting processes and instructions. 
 Great communication skills and the ability to work well with others. 
 A knack for problem-solving and making smart decisions based on data. 
 Attention to detail without getting bogged down in the weeds. 
 Flexibility and adaptability to roll with the punches in a fast-paced environment. 
 A customer-focused mindset, always looking for ways to deliver top-notch service. 


Educational Background / Work Experience / Qualifications


 Bachelor’s in business administration, or a related field. 


Language Skills


 Business fluent in English 
 Preferably good command of local language 


 Computer Literacy 


 Highly proficient in Microsoft Office Software (Excel, Word, PowerPoint, and others) 
 Good knowledge of Customer Relationship Management (MS Dynamics) Tools 


Physical And/or Mental Requirements / Working Conditions

While performing the duties of this job, the employee is frequently required to stand. The employee is often required to walk and use hand and eye coordination. Specific vision abilities required by this job include close vision, depth perception, and the ability to adjust focus.
",,0,1,0,Full Time,"Bachelor’s in business administration, or a related field. ",Global Transport and Logistics,Business Consultant,0
35,AI Transformation Consultant,"Arlington, VA",,"67,700 - 154,000",,"As an AI transformation consultant, you know that implementing digital initiatives with effective change management and process improvement skills is crucial for your client’s future. You’re eager to apply your consulting experience and knowledge of both technology and people to develop creative solutions. We’re looking for someone like you to apply your knowledge and help organizations solve their traditional business challenges with AI strategies and solutions.

You will be trusted to transform a government client organization by implementing digital initiatives that improve mission efficiency and effectiveness. Using data and automation tools and best practices to drive process improvement and change management, you’ll work closely with key stakeholders and other technical consultants to develop and contribute to transformative technology and business solutions. With opportunities to learn new tools and skills, we focus on growing and collaborating as teams to make the best solutions for our customers. Work with us as we implement new technologies to change our government clients for the better!

Empower change with us.","Experience working with government agencies to solve problems with better approaches to data and automation
Experience in creating process change by integrating new processes with existing ones and communicating these changes to impacted business systems teams
Experience in organizational change management or process improvement
Experience engaging stakeholders to adopt new processes and tools
Ability to identify gaps in organization’s posture for change, especially as relates to AI
Ability to develop presentations and present to Senior Leaders, General Officers, and business executives
Secret clearance
Bachelor's degree","Our comprehensive benefits package includes wellness programs with HSA contributions, paid holidays, paid parental leave, a generous 401(k) match, and more. With these benefits, plus the option for flexible schedules and remote and hybrid locations, we’ll support you as you pursue a balanced, fulfilling life—at work and at home.",0,1,0,Full Time,,,,0
36,Sr. Retail Business Planner,"Westwood, MA",,"95,000 - 110,000","A world leader in innovative, casual footwear, Crocs, Inc., is dedicated to the future of comfort. Our original and most famous style, the Classic Clog, is instantly recognized around the world — and for good reason: since 2002, we’ve sold more than 600 million pairs in over 90 countries! We achieved our status as a global leader in the casual footwear category by taking an inherently simple approach to uniting style, modern comfort, and value.

Every day, we make a choice to have an open mind and look on the bright and colorful side of life. We embrace and celebrate the uniqueness in everyone, inviting the world to Come As You Are!

The Sr. Retail Business Planner is responsible for developing merchandise open to buy and inventory plans for a given Gender/Category in the Retail channel. This role assists Merchants in ensuring key retail metrics are achieved on the OTB at the channel & gender level. Ensure all plans reconcile and meet corporate growth objectives."," Develop merchandise financial plans and tools by channel, gender and price status. Ensure reconciliation with financial goals such as revenue, margin, turns and efficient inventory. 
 Prepare and update the monthly forecasts and track the performance to Plan, Prior forecast and LY 
 Develop tools, lead, and recap weekly reporting for review by business partners, supporting required analysis and business decisions regarding markdowns and the OTB adjustment on a weekly, monthly, and quarterly basis. 
 Develop & handle tools to analyze markdowns & promotions. 
 Perform as liaison with regional planning partners to manage and trade inventory. Includes EOL liquidation and inline excess maximization. 
 Assist in planning & forecasting promotions, markdown activities and store level KPI's 
 Lead all aspects of in-season performance against plans and recommend action for improvement as needed. 
 Help lead quantitative end-of-season analysis. Asses brand opportunities, analyze performance data and provide information & key highlights to merchants. 
 Partner with Merchandising and Supply Chain to ensure on timely delivery of buy plan units and understand lead times to the warehouse. Owns the on order. 
 Support the Senior Director of Planning on deliverables for key milestone meetings and strategies. "," Bachelor’s Degree and/or 3-5 years’ experience in retail buying, merchandise planning, allocation. Experience in a footwear/apparel specialty branded retail is preferred 
 Sound understanding of key performance indicators and elements that drive retail profitability and inventory efficiency 
 Full understanding of the merchandising process: merchandise planning and allocation, assortment planning, SKU optimization, pricing strategy, markdown strategy, and promotional planning 
 Comprehensive understanding of retail math 
 Strong leadership and interpersonal skills to influence stakeholders 
 Strong critical thinking skills with the ability to identify and summarize the problem, question, or issues 
 Effective and organized communication capabilities ",,0,1,0,Full Time,Bachelor’s Degree,Retail,,0
37,HCM Business Consultant,"Chandler, AZ",,,"Ace Workforce Technologies has continued success in the HCM /Payroll Industry since 1994. It provides businesses with a complete human capital management solution inclusive of applicant tracking, electronic onboarding, employee self-service, payroll processing, time and attendance, human resources management, benefits administration, pay per cycle worker's compensation, learning management and employee engagement tools. We are renowned for providing excellent customer service and we have the long-standing relationships to prove it.

We are looking for talented business consultants to join our growing teams in New York, Nevada, Arizona and Florida.","Business consultants will act as a primary driver for enterprise businesses to automate and streamline a client's most critical business challenges. You are motivated by technology, executive engagement and commitment, problem solving, planning, and by bringing together mutual teams for delivering comprehensive solutions. Knowledge of HCM technology is required for success.

What You Will Be Doing

Work with CSO to jointly develop a sales and marketing territory strategy to meet sales objectives
Prospect and target enterprise customers, qualifying and aligning to client's needs, goals, and objectives to deliver a customized client solution 
Develop multiple referral partner channels (Insurance Agencies, CPAs, HR Professionals and Labor Attorneys, Banks, and other Technology Partners) for effective client outcomes
Build and maintain a pipeline of high-quality opportunities, and efficiently manage the sales cycle
Participate in local channel and industry events to engage with target accounts and provide ROI","Sales Skills

Relationship and Channel Builder
Territory Marketing and Management
Passion for Prospecting
Subject Matter Expert
2+ years Successful Experience in HCM Solution Selling
Excellent Presentation and Software Product Demonstration Skills
Proven ability to Accurately Forecast Sales, and to Meet and Exceed a Sales Quota
Create and Drive Client-Centered Strategies

Product & Service Knowledge 

Extensive HCM Product Knowledge through both Trainer Instruction and Online Self-Training
Become a Product Enthusiast 
Promoter of Brand Awareness 

Communication & Customer Service Skills

Ability to Speak the Client's language Through Proper Discernment
Customer Relations and Assistance is Top Priority
Excellent Verbal and Written Communication Skills
Persuasive and Passionate Speaker 

Education

Bachelor's degree or equivalent ","Medical, 401(K)",0,1,0,Full Time,Bachelor’s Degree,Consulting,Business Development,0
38,Healthcare Business Advisor,"Boston, MA",Accounting,,"Edelstein & Company LLP is a full-service public accounting firm, with a large division dedicated to healthcare and business consulting within that sector. For decades, independent physician practices and health care organizations throughout New England and beyond have sought our help for practical, solutions-oriented accounting, healthcare, and tax guidance, along with practice management support.
 
With offices in Boston, Burlington, and flexible/hybrid and remote options, we offer employees an excellent work environment with a competitive compensation and benefits package. We are a client-first team of professionals, offering boutique, personalized services and solutions. We pride ourselves on high quality delivery, teamwork, and innovation, and recognize excellence and contributions at both the individual and team levels. ","Essential Functions
 
Manage the administrative and financial operations for medical clients of various sizes
Meets regularly with physician leaders to keep them apprised, and for guidance and approval on practice decisions as needed
Collaborate with the physician partners in planning and implementing business plans focused on the growth of clinical and financial performance
Oversees inventory and expenses, signing off on invoices, and finds opportunities for increased cost-effectiveness
Generates analyses and reports on a variety of measures to facilitate growth endeavors (new providers, business expansion) and support data-driven decision-making 
Supports M&A activity, including business startups 
Establishes standards for excellent client service","College degree, preferably in a business discipline. Master’s degree a plus (MBA, MHA, MPH, or similar)
Minimum eight years’ experience, with at least two years of supervisory experience
5 years’ experience as an Office/Practice Manager within the healthcare industry, with use of an EMR/HER, or similar role. Experience in one or more specialties a plus.
Must have an accounting foundation including familiarity with financial statements, reconciliations (bank, credit), and payroll
Experience with accounting software (such as QuickBooks) and payroll software such as ADP or Paychex
Proficient with Microsoft Excel, including pivot tables, coupled with an ability for data analysis and critical thinking
Work requires the knowledge and skills necessary to solve problems in the areas of clinical operations, business planning, financial management, marketing, and personnel
Superb customer service; is proactive, organized, and detail-oriented
Proficient with Microsoft Outlook and Word
Excellent written and oral communication skills
Must be able to work independently and within a team",,0,1,0,Full Time,College Degree,Accounting,,0
39,Strategy and Innovation Consultant,"Chicago, IL",,,"Catena Solutions specializes in supporting supply chain organizations with their business initiatives including digital, financial, human capital, and supply chain transformations. Our team of consultants have expertise in the areas of Change Management, Communications, Cost & Margin Optimization, Data Management/Visualization & Analysis, Organizational Design, Project Management, Total Rewards, and Workforce Planning. It is Catena Solutions’ practice not to discriminate against any employee or applicant because of sex, race, color, age, national origin, religion, gender identity or expression, sexual orientation or sexual preference, pregnancy or maternity, genetic information, marital status, disability, veteran status, or any other basis protected by applicable federal, state or local law. If you have a disability or handicap and would like us to accommodate you in any reasonable way, please inform your recruiter so that we can discuss the appropriate alternatives available. Catena Solutions is part of the Advanced Group, a talent acquisition and management, consulting, outsourcing, and professional services organization.
","Identify portfolio whitespace and create a structured process for evaluating current and future allied/partner brands.
Develop innovation strategy and create a pipeline vetting process to validate strategic fit, consumer resonance and financial impact.
Create a consumer centric strategy including brand positioning.
Partner with leadership to identify, analyze and accelerate strategies for growth.
Develop insights and strategic perspectives on new opportunities.
Liaise business development efforts focused on M&A, operational due diligence, including writing proposals, participating in pitch meetings, and negotiating scope and terms.
Develop and articulate the business model drivers and valuation outputs, including validation of the opportunity size, development of a P&L linked to growth and value drivers.","Minimum of 15 years of experience in brand and innovation strategy within a Global CPG or Food Manufacturing organization. 
Experience with health and wellness brands is a plus
Extensive Project Management experience
Pre-M&A and integrations experience within CPG/Food Manufacturing 
Bachelor’s Degree in finance or accounting 
Applicants must be currently authorized to work in the United States without the need for visa sponsorship now or in the future
Willingness and ability to travel","As a Catena Solutions consultant, you will have access to industry-leading benefits, including medical/dental/vision, 401(k) with match, long/short-term disability, pet insurance, career and holiday rewards, and more!",0,1,0,Full Time,Bachelor’s Degree,Consulting,,0
40,Organizational Change Management Transformation Consultant,"New York, NY",Business Consulting Services,"100,000 - 250,000","Our credo is excellence without compromise. For every engagement. For every client. Whether a new technology initiative, a crucial process improvement opportunity, or an entire business transformation, having the assurance of a high performing team to deliver success has no substitute. We are complexity specialists.


We integrate strategy and tactics, ensure end-to-end control, and drive results. We orchestrate client success by designing and leading expertly tailored solutions. Because this is our brand, we are proud to be the go-to trusted partners for the world’s leading companies who have come to rely on us to manage their most vital transformation initiatives.


BSC was founded in 2002 by industry veterans with the mission statement of creating a specialized practice for enabling business leaders to succeed at implementing complex transformation projects. The commitment to that mission and a track record of consistently exceeding expectations has propelled BSC to expand into a national practice, and we continue to invest into new markets and capabilities to better serve our clients.","The Organizational Change Management (OCM) Lead is accountable for the planning and delivery of all change management activities within the context of a system deployment or business/technical transformation project. The role provides governance and oversight and is an active member of the project’s core team. Depending on the project size, this role could encompass filling a lead role to deliver on a specific area of change management in addition to providing overall governance and project management.


CLIENT DELIVERY RESPONSIBILITIES

The OCM Lead would have the following consulting responsibilities at BSC clients:
Accountable for planning and delivering the overall change management body of work including Stakeholder Engagement & Communication, Operational Readiness, and Training
Lead all Stakeholder Engagement & Communication activities
Identify and map key stakeholders and create overall strategic and tactical communications plan
Utilize available channels such as meetings, message boards, email, video, etc. to deliver messaging
Measure levels of awareness and adoption through surveys/interviews
Identify and mitigate change impacts to the business resulting from the business/technology transformation
Establish and manage a network of change champions
Lead all Operational Readiness activities
Assure the new processes are clearly understood
Establish a Super User Community for post-implementation support
Prepare the business for all cutover and transitional activities
Define/edit clear standard operating procedures
Lead all Training activities including:
Assess training needs and design curriculum
Facilitate the creation of all training materials
Prepare trainers to deliver materials
Plan and execute all logistics to deliver training
Provide governance, oversight, and adherence to the agreed upon strategy or playbook
Act as primary point of contact for change-related activities with the core project team and extended stakeholders
Proactively identify risks and mitigations
Facilitate regular meetings with the OCM team; acts as coach/mentor to team members
Track and reports status","At least 7-10 years of consulting experience (big 4 or equivalent preferred)
Expertise in OCM best practices
Verbal, written, facilitation, and interpersonal interactions at all levels of a global organization
Leadership of change management efforts for large-scale system implementation projects
Team member coaching
Following a prescribed playbook and managing team members to deliver accordingly
Experience in Program/Project Management within global transformational projects
SAFe, Agile and Waterfall methodology knowledge
Leadership roles as part of global complex enterprise software implementations operating in highly matrixed shared service environments
Risk identification and mitigation planning and execution
MS Project planning and execution activities
Regulatory compliance and/or software validation components of a large program initiative
Stakeholder analysis and development of strategic and tactical communication plans
Communication channels such as email, audio, video, in-person meetings, and online tools
Survey design and analysis to gather levels of awareness and adoption of change programs
MS PowerPoint content and creative presentation development
Account/Client Management including identifying leads and opportunities, leading sales pursuit teams, writing proposals and closing business
Exposure to the following areas:
Full technology implementation lifecycle - from planning through ramp up and transitioning the business to a steady state
Document control systems
Process design and delivery of process and technical training
Resource model preparation to support projects
Accomplished in clearly communicating complex ideas in written and verbal form coupled with keen emotional intelligence and polished etiquette to deliver insights, manage conflicts with diplomacy, and influence outcomes.
Mastery of group dynamics, with demonstrated aptitude for promoting collaboration, engagement from team members, and driving team productivity
Poised and mission focused leader who can initiate and drive action in ambiguous circumstances
Embraces the role of the servant leader who is passionate about team success, and first to get in the trenches to do the heavy lifting to drive outcomes
Disciplined tactician with proficiency in resolving dynamic problems through agility and flexibility
Personally invested in continuous improvement and innovation
Bachelor’s or Master’s degree in a related field",,1,0,0,Full Time,Bachelor’s Degree,Consulting,,0
41,Monster Internal Test Job (Pease DO NOT Apply),"Schenectady, NY",,,PAT_xpentestx,"This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.
This is Monster Internal Testing job only. Please DO NOT Apply for this job. This job is posted for testing purpose only.

-Thank You-",,,,0,0,Full Time,,,Employee,1
42,Small Utility Consultant I (Job #246),"West Sacramento, CA",Field Utilities,"$70,025 - $77,269",Rural Community Assitance Corporation,"General Purpose:

Under general supervision of the Regional Field Manager, this role provides technical, managerial, and financial (TMF) assistance to small, disadvantaged community water and wastewater systems so they can operate sustainably and deliver quality services to the communities served. The Consultant works closely with rural and Indigenous residents and local leaders to assist them to develop and manage water, wastewater, or solid waste systems. Additionally, the Consultant prepares and delivers classroom and individual trainings as needed to build the capacity of local partners.

Specific job goals, objectives and tasks are established for each employee as part of the annual evaluation and work plan process. The statements are intended to describe the general nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all qualifications, responsibilities, duties, and skills required.

Job Duties and Responsibilities:

Assess the needs of our clients and recommend solutions to the needs identified.
Build technical, managerial, and/or financial capacity at small utilities.
Manage relationships with client communities and utilities.
Help clients access financial resources to address drinking water, wastewater, and solid waste needs.
Recommend and implement solutions.
Promote and facilitate partnerships to maximize limited resources.
Develop, prepare, and deliver group and one-on-one trainings.
Provide excellent customer service.
Prepare activity and outcome reports as required.
Performs other related duties as assigned.
Supervision Exercised:

No supervision exercised.

","Minimum Qualifications and Necessary Requirements:

EQUIVALENTcombination of education and experience can meet minimum qualifications.
EDUCATION: High school diploma or equivalent with qualifying experience. Bachelor's degree in a related field preferred.
LICENSE/CERTIFICATION: Valid driver's license and proof of insurance that meets the minimum requirements ($100,000/$300,000) of RCAC corporate liability policy.
EXPERIENCE: One to three years of water, wastewater, environmental project management experience or in related field. Commitment to rural communities, drinking water access, or health equity issues.
Must pass a criminal background investigation prior to employment.
Knowledge, Skills, and Abilities:

Knowledge of technical, managerial, and/or financial operations of a small water or wastewater utilities
Knowledge of resources available to support community water and wastewater projects.
Knowledge and familiarity with rural and tribal community culture and social norms
Facilitation, mediation, and meeting management skills
Skill with personal computers, including cloud computing and Microsoft Office
Skill with video conferencing platforms
Organizing and coordinating skills
Database and records management skills
Customer service skills
Ability to manage multiple priorities simultaneously.
Ability to develop and conduct participant-centered trainings and workshops.
Ability to troubleshoot, innovate, and problem-solve.
Ability to create, compose, and edit written materials.
Ability to make administrative and procedural decisions and judgments.
Ability to gather data, compile information, and prepare reports.
Ability to carry out instructions furnished in verbal or written format.
Ability to establish and maintain professional relationships with individuals of varying social and cultural backgrounds and with co-workers at all levels.
Ability to maintain confidentiality.
Ability to analyze situations and adopt appropriate courses of action.
Ability to meet strict timelines.
Preferred Requirements:

Bachelor's or Master's degree
Experience and familiarity with rural and Tribal community dynamics
Water or wastewater operator certification
Bilingual in languages spoken in our client communities (including, but not limited to Spanish, Navajo, Yup'ik, Salish)
Physical Demands:

While performing the duties of this job, the employee is regularly required to sit and stand; use hands to finger, handle, or feel; reach with hands and arms; and talk or hear. The employee frequently is required to walk. The employee occasionally is required to stand; and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision requirements include close vision, distance vision, color vision, and depth perception.

Working Conditions:

Work is typically performed in an office with a moderate noise level. Evening and/or weekend work may be required. Travel is required, including regular visits to remote rural and Indigenous communities that may lack cell service and other modern amenities.

",,0,0,0,Full Time,Bachelor's or Master's degree,Infrastructure,Utility Consultant,0
43,"Software Developer
","Starlink House, Suite 202, No. 8/10 Salamotu Eniola Street, Illasa, Lagos State
",IT & Telecoms,"500,000","HYENA LIMITED
","Design and maintain software systems
",,,0,0,0,Full Time,"Bachelor's Degree in Computer Science or related field
","IT
",Software Engineer,1
44,Remote WFH Data Entry Clerk / Customer Service Rep,Anywhere,Data Entry,,Misti,"R2 Technologies Corporation

Position Summary

The Remote Data Entry Operator / Clerk plays a pivotal role in ensuring the accuracy and efficiency of our data management processes. This position is exclusively available to candidates residing in the United States and offers the opportunity to work remotely.","Job Requirements
• High school diploma or equivalent
• Proven track record in data entry or a related field
• Proficient typing skills with a strong focus on accuracy
• Exceptional attention to detail and organizational capabilities
• Proficiency in Microsoft Office and data entry software
• Ability to work independently, prioritize tasks, and meet deadlines
• Strong verbal and written communication skills
• Previous experience in eye care or healthcare data entry is advantageous",,1,1,0,Freelance,"• High school diploma or equivalent
",Other,Other,1
45,Oil & Gas Data Entry and Bookkeeping,"Denver, CO",Data Entry,19 - 26,Pivoten,"Full job description
Job Duties
- Collecting and entering financial data into accounting systems and maintaining accurate records
- Performing basic mathematical calculations to ensure data accuracy
- Creating pivot tables and utilizing spreadsheet functions to analyze data
- Utilizing computerized systems to input and retrieve information
- Assisting with clerical tasks such as typing, filing, and organizing documents

Past Experience
- Previous experience in data entry or a related field is preferred
- Proficiency in using Google and Microsoft applications, including pivot tables and basic functions
- Strong attention to detail and accuracy in data entry
- Excellent organizational skills and ability to prioritize tasks
- Familiarity with computerized systems and ability to quickly learn new software

As a Data Entry Clerk, you will play a crucial role in maintaining accurate and up-to-date records for our organization. Your attention to detail and ability to efficiently enter data will contribute to the overall success of our operations.

Please note that this is not a remote position. The Data Entry Clerk will be required to work on-site at our office location.

If you are a detail-oriented individual with strong data entry skills, we encourage you to apply for this position. We offer competitive compensation and opportunities for career growth within our organization, including full-time opportunities.

Job Type: Temporary

Pay: $19.00 - $26.00 per hour

Expected hours: 16 – 40 per week

Benefits:

Flexible schedule
Schedule:

Monday to Friday
Application Question(s):

Do you have Oil & Gas experience?
Ability to Commute:

Denver, CO 80202 (Required)
Ability to Relocate:

Denver, CO 80202: Relocate before starting work (Required)
Work Location: In person","Past Experience
- Previous experience in data entry or a related field is preferred
- Proficiency in using Google and Microsoft applications, including pivot tables and basic functions
- Strong attention to detail and accuracy in data entry
- Excellent organizational skills and ability to prioritize tasks
- Familiarity with computerized systems and ability to quickly learn new software","Benefits:

Flexible schedule",0,0,1,Full Time,,Oil & Gas,Data Entry,0
46,CUSTOMER SERVICE / CALL CENTER AGENT,"Avon, CO",Call Center,23 - 27,Gorsuch,"Every year for more than 58 years, Gorsuch builds on its reputation for offering exceptional merchandise and unsurpassed services. Our goal, always, is to be the best we can be, and to make our best even better. That means staffing our retail and online organization with outstanding people who are inspired by the pursuit of excellence. We are looking for individuals who want to make a difference in our family-owned company that values our great employees. We love where we live! We love what we do! We want to meet you!

This position is an inner office job located at our Customer Care and Fulfillment Center in Avon, Colorado.

We are seeking a Call Center Agent to join our Gorsuch family. This is an ideal opportunity for an enthusiastic individual with an interest in style, quality, paying close attention to detail and an interest in the mountain lifestyle to be part of our team. The sky is the limit in your career with Gorsuch, this position can lead you to other positions such as Management, Merchandising, Logistics, and much more!
General Duties of the Call Center Customer Care Agent are:

Provides excellent customer service while placing customers’ orders over the phone or online with customer chats.
Answers questions and addresses customer complaints in professional manner in effort to problem solve.
Maintains fully informed of all new information related to merchandise, procedures, customer needs and company related issues, changes, or actions.
Maintain work area and equipment in a clean and orderly condition following prescribed safety regulations.
Other related duties as assigned.
What the Call Center Customer Care Agent will need to be a great candidate:

Previous experience in customer service over the phone preferred.
Previous experience selling luxury apparel including skiwear and home furnishings.
Proficiency with computer software and accurate data entry skills.
Excellent Interpersonal skills with the ability to be tactful, thoughtful, and diplomatic when dealing with customers.
Self-starter with a positive attitude who can work with many different teams and people.
Benefits: The Standard benefits for full-time year-round staff include Medical, Dental, Vision, Life, Disability, Paid Vacation, Paid Sick Leave, 401k, Ski Pass Program, Staff Discount Program.
Salary: $23 - $28 per hour and more depending on experience.
On-site position 5 days a week, 32-40 hours full time.

Job Type: Full-time

Pay: $23.00 - $27.00 per hour","Previous experience in customer service over the phone preferred.
Previous experience selling luxury apparel including skiwear and home furnishings.
Proficiency with computer software and accurate data entry skills.
Excellent Interpersonal skills with the ability to be tactful, thoughtful, and diplomatic when dealing with customers.
Self-starter with a positive attitude who can work with many different teams and people.","Benefits: The Standard benefits for full-time year-round staff include Medical, Dental, Vision, Life, Disability, Paid Vacation, Paid Sick Leave, 401k, Ski Pass Program, Staff Discount Program.",0,0,1,Full Time,,Customer Service,Call Center Agent,0
61,Independent Contractor - Sales Agent,remote,Sales,Commission Based,Simplia,"We are a one stop shop for all digital services for small businesses, everywhere.From Websites, SEO, Social Marketing, while using the latest AI technology and more.Great opportunity to sell!All you have to do is get small business customers and sell our service, which they need to help them grow! Sell 2 websites a day, 5 days a week and make over $150k a year! No tech background or experience is required! Just know that small businesses need a website and online presence. We do it all for them! Don't apply if you cannot start selling next week! Sales are either in person or phone. Work from home (remote) and sell from the comfort of your sofa! Please send an email if you are interested! (include your phone number)",None,None,0,0,0,contract,,Other,Sales,1
62,Automotive Mechanic,"Deerfield Beach, FL",Crew,Hourly,Mavis Tire,"Tire Kingdom is proud to join the Mavis Tire family. We're looking for full-time Automotive Mechanics to join Team Mavis at one of our state-of-the-art automotive service and retail tire sales centers in the Boca Raton, FL area. With over 2,000 retail locations, Mavis is one of the largest tire sales and automotive repair chains in the United States.

About the Position of Automotive Mechanic

As Mavis's leaders in undercar repairs, our Automotive Mechanics are trusted to inspect, diagnose, and perform a wide variety of automotive services on customers' vehicles. Mavis's Automotive Mechanics perform a wide variety of undercar repairs, including brakes, struts and shocks. Automotive Mechanics are also responsible for completing state-mandated inspections, changing oil and filters, checking fluids, replacing worn parts, and dismounting, mounting, rotating and balancing tires.","We recruit team members who share our commitment to providing complete customer satisfaction and delivering the highest quality service. To be eligible for the position of Automotive Mechanic, you must (1) be at least 18 years of age; (2) be legally authorized to work in the United States; (3) possess 2 years of experience and/or training in automotive repair and maintenance or any combination of education, training and experience which demonstrates the ability to perform the duties and responsibilities of the position; and (4) possess an extensive tool box of personal tools used in performing undercar repairs.

The following additional qualifications are preferred: (1) state inspection license(s); and, (2) ASE Certifications in Automotive Maintenance and Light Repair (G1), Suspension and Steering (A4), and Brakes (A5).

As an active position, Automotive mechanics are required to stand, walk, bend, kneel, stoop, crouch, crawl, climb, pull, reach and perform repeated and repetitive movements consistent with vehicle maintenance and automotive repair. Mechanics must regularly lift and/or move items weighing over 50 pounds.","Competitive base rate + commission, paid vac, hol, sick pay, health, dental, 401-K",0,1,0,full-time,,Automotive,Mechanic,0
